,Diagram 0,Diagram 1,Diagram 2,Diagram 3,Diagram 4,Diagram 5,Diagram 6,Diagram 7,Diagram 8,Diagram 9,Diagram 10,Diagram 11,Diagram 12,Diagram 13,Diagram 14,Diagram 15,Diagram 16,Diagram 17,Diagram 18,Diagram 19,Diagram 20,Diagram 21,Diagram 22,Diagram 23,Diagram 24,Diagram 25,Diagram 26,Diagram 27,Diagram 28,Diagram 29,Diagram 30,Diagram 31,Diagram 32,Diagram 33,Diagram 34,Diagram 35,Diagram 36,Diagram 37,Diagram 38,Diagram 39,Diagram 40,Diagram 41,Diagram 42,Diagram 43,Diagram 44,Diagram 45,Diagram 46,Diagram 47,Diagram 48,Diagram 49,Diagram 50,Diagram 51,Diagram 52,Diagram 53,Diagram 54,Diagram 55,Diagram 56,Diagram 57,Diagram 58,Diagram 59,Diagram 60,Diagram 61,Diagram 62,Diagram 63,Diagram 64,Diagram 65,Diagram 66,Diagram 67,Diagram 68,Diagram 69,Diagram 70,Diagram 71,Diagram 72,Diagram 73,Diagram 74,Diagram 75,Diagram 76,Diagram 77,Diagram 78,Diagram 79,Diagram 80,Diagram 81,Diagram 82,Diagram 83,Diagram 84,Diagram 85,Diagram 86,Diagram 87
Diagram 23,1.0113919864438119e-12,2.0119367254716644e-13,7.79847670434473e-13,1.1222344615030443e-12,3.217524807696004e-13,5.4245487268342605e-12,5.551230245772339e-13,5.4302355001732056e-11,5.220934215923116e-12,8.903925787640126e-13,6.306046040266327e-11,1.5409432524801017e-10,1.819416343862696e-12,2.037381191947743e-11,1.9729827241669826e-12,2.514445788700884e-11,2.0961117332786408e-13,2.310206182633103e-12,4.598283253664816e-13,8.751693617793533e-13,3.491158618262566e-13,2.7498666577968643e-12,3.578816490359918e-11,0.0,7.3091089849657e-13,4.220858760140361e-13,4.891948579627098e-12,6.031700219138754e-13,1.3359306516328145e-11,5.1790120120273006e-11,6.8647424647086464e-12,2.5060616254222343e-10,5.472563920378223e-13,3.233835632446183e-11,5.497466410390966e-13,4.983801297951774e-12,7.864023521592091e-13,4.015652911579269e-12,1.1930375762332778e-11,4.4561865083287126e-12,2.6890906945438224e-12,4.698113586610682e-12,1.2099579422690429e-11,9.416445200203641e-12,1.7613820738187365e-11,9.247040700835953e-12,1.2277373869609004e-11,2.0308130284599783e-11,1.3960901904343556e-11,2.4348159165576545e-12,3.440367664555579e-12,9.267826346219451e-12,5.058713250612921e-11,2.1850815132192176e-11,3.0389819920330043e-12,2.870678644934616e-10,2.433339909645006e-12,1.593188477850211e-12,3.016595355420438e-13,7.79158414106968e-13,5.179061128307134e-12,1.4915260773287745e-12,2.383097126568121e-12,1.937382780521893e-11,1.973700330124149e-12,2.704827919526753e-13,1.0830106710148357e-12,4.577921101170117e-13,9.035613143791066e-13,8.19507449527664e-13,1.5999076888727039e-12,5.430869398120332e-13,4.5224125666002457e-13,2.9157093675202474e-11,2.9884998851122736e-11,5.404734867062634e-11,9.719987147027888e-13,8.945515699237938e-13,1.823790508054476e-11,4.88871474758561e-12,6.428474103338124e-13,5.335258663213746e-13,1.2723611806394027e-12,8.251270036897052e-13,1.4038610708162625e-11,6.084626261434166e-12,1.7983725523525243e-12,5.231953914744174e-12
Diagram 24,1.6825879365377757e-12,8.553834454635841e-13,1.1009998232859852e-12,1.7934304115970082e-12,9.572299538965828e-13,4.76174074978224e-12,1.2090541458118738e-12,5.363115905163809e-11,4.5497382658291525e-12,7.384311880506445e-13,6.23892644525693e-11,1.534231292979162e-10,1.231442933141727e-12,1.970261596938347e-11,1.3306175414085478e-12,2.4473261936914877e-11,6.835588421607762e-13,1.8949797893754123e-12,5.053259261589041e-13,1.5463653118733171e-12,1.0203118119202205e-12,2.3862643723108476e-12,3.5116968953505224e-11,7.3091089849657e-13,0.0,9.161665777740624e-13,4.31974849520301e-12,1.2743659720078394e-12,1.268811056623418e-11,5.1200545993744796e-11,6.1935465146146816e-12,2.499349665921295e-10,4.0533192781088624e-13,3.25693644773619e-11,1.2016663631053225e-12,4.31260534785781e-12,9.041748095544714e-13,3.3444569614853054e-12,1.1259179812238814e-11,3.7849905582347485e-12,2.0498793385916843e-12,4.026917636516718e-12,1.1428383472596465e-11,8.745249250109675e-12,1.6942624788093402e-11,8.575844750741989e-12,1.1606177919515042e-11,1.963693433450582e-11,1.3305878606300639e-11,1.7636199664636905e-12,2.769171714461616e-12,8.596630396125487e-12,4.992804321549511e-11,2.119579183414926e-11,2.3677860419390402e-12,2.863966685433677e-10,1.797899689206434e-12,1.0441351204038657e-12,9.677249920844493e-13,1.4503543642009316e-12,4.519145693644339e-12,8.20330127234811e-13,1.6751594050950113e-12,1.8702631855124972e-11,1.3684905940561797e-12,9.157379607419428e-13,5.541420754222089e-13,5.510931062506981e-13,9.97892627916363e-13,1.4907033996216275e-12,1.0922395869219897e-12,1.2011112059012388e-12,7.304199124273095e-13,2.8485897725108506e-11,2.921380290102877e-11,5.3376152720532374e-11,1.6431946647967524e-12,1.565747520017758e-12,1.7566709130450794e-11,4.217518797491646e-12,1.3140433604277763e-12,3.78645956865954e-13,1.9435571307333667e-12,1.496322953783669e-12,1.3462689155375124e-11,5.413430311340202e-12,1.348014279934252e-12,4.56075796465021e-12
Diagram 25,7.664213587637132e-13,4.1588431083802927e-13,1.0703965628854363e-12,8.8242805470203e-13,4.2262340737240333e-13,5.6695193545143595e-12,4.981041946153027e-13,5.454732562941215e-11,5.465904843603215e-12,5.259336027111846e-13,6.330543103034337e-11,1.5433929587569025e-10,2.0643869715427947e-12,2.061878254715753e-11,2.179796782994831e-12,2.538942851468894e-11,4.882414610132424e-13,2.5551768103132016e-12,5.146635859546747e-13,6.301987340992545e-13,2.5544400376639784e-13,2.994837285476963e-12,3.6033135531279287e-11,4.220858760140361e-13,9.161665777740624e-13,0.0,5.136919207307197e-12,4.4395534677998227e-13,1.3604277144008242e-11,5.20350907479531e-11,7.1097130923887454e-12,2.5085113316990354e-10,7.536480406888001e-13,3.2025304815972814e-11,2.922142840190746e-13,5.228771925631872e-12,1.0313729798393079e-12,4.260623539259368e-12,1.2175346390012877e-11,4.701157136008811e-12,2.9146643241763604e-12,4.9430842142907806e-12,1.2344550050370526e-11,9.661415827883738e-12,1.7858791365867462e-11,9.49201132851605e-12,1.2522344497289102e-11,2.0553100912279887e-11,1.4184039823210847e-11,2.6797865442377527e-12,3.685338292235678e-12,9.51279697389955e-12,5.0832103133809304e-11,2.2073953051059467e-11,3.2839526197131024e-12,2.873128351211417e-10,2.633298744714283e-12,1.83815910553031e-12,3.705105374875515e-13,5.524563761190601e-13,5.320695786514291e-12,1.736496705008873e-12,2.488481576893408e-12,1.9618798432899028e-11,1.6423073988576012e-12,6.301641253691512e-13,1.3246519466186968e-12,6.015524704712259e-13,1.1857687533928093e-12,5.752721845562828e-13,1.8448783165528025e-12,4.896767415900455e-13,3.0530644173955944e-13,2.940206430288257e-11,3.012996947880283e-11,5.429231929830644e-11,7.270280870226899e-13,6.505558723710281e-13,1.8482875708224857e-11,5.133685375265709e-12,4.315525905763096e-13,6.918141432266503e-13,1.027390552959304e-12,5.981896220052562e-13,1.413319578417662e-11,6.329596889114265e-12,1.446062342083265e-12,5.4769245424242715e-12
Diagram 26,5.9033405660709105e-12,4.993245768085076e-12,4.112100909192625e-12,6.014183041130142e-12,5.141743142431101e-12,4.827979450251955e-12,5.429806775345009e-12,4.941040642210495e-11,4.798145586053586e-12,4.8894671450848925e-12,5.8168511823036145e-11,1.4920237666838307e-10,3.2031731060811804e-12,1.5481863339850335e-11,4.352447521372665e-12,2.0276062172076904e-11,4.695425309233733e-12,2.8003678325355593e-12,4.639014376955857e-12,5.7671179414064515e-12,5.241064441453355e-12,2.1420819218302334e-12,3.089621632397209e-11,4.891948579627098e-12,4.31974849520301e-12,5.136919207307197e-12,0.0,5.4951186015409746e-12,8.467357936701047e-12,4.804168001549591e-11,6.439282238075307e-12,2.4571421396259633e-10,4.383271166618396e-12,3.187569936358645e-11,5.422418992638457e-12,4.552187807220697e-12,4.105546227467889e-12,3.4269839632957904e-12,1.071058393452309e-11,3.015430584320627e-12,4.3108586481349506e-12,4.189695989359121e-12,7.20763084306333e-12,7.902144592806799e-12,1.4140846196123366e-11,6.597720875471471e-12,7.779920917930404e-12,1.541618170497269e-11,1.0186044663593667e-11,3.562354883319872e-12,3.5786817487294486e-12,5.754791969212315e-12,4.664661579420736e-11,1.719368360051801e-11,3.8932217316642905e-12,2.821759159138345e-10,3.7070090858329534e-12,3.3960549780451785e-12,5.1851826156007465e-12,5.6711069937340664e-12,4.2234565924692745e-12,3.6616565786681785e-12,4.303823075230447e-12,1.4481879225591834e-11,5.090351839439212e-12,4.860535801713289e-12,3.9518593675277396e-12,4.5398423233196245e-12,3.988387265247991e-12,5.711456029154762e-12,3.3758279420929282e-12,5.418405792521526e-12,4.951172541960443e-12,2.426514509557537e-11,2.499305027149563e-11,4.929623328299887e-11,5.863947294329887e-12,5.786500149550892e-12,1.4557703089065527e-11,4.9710111888266314e-12,5.53479598996091e-12,4.445105064080546e-12,6.1643097602665016e-12,5.7170755833168034e-12,1.2588735041441922e-11,4.80324499445013e-12,4.1921669973636286e-12,4.805158266302706e-12
Diagram 27,4.0822196452993654e-13,5.018728334558978e-13,1.3830176923483483e-12,5.235328419363313e-13,3.5337545910987237e-13,6.027718748748137e-12,1.5023860833333147e-13,5.490552502364593e-11,5.8241042378369915e-12,8.935104247794356e-13,6.366363042457714e-11,1.5469749526992405e-10,2.4225863657765715e-12,2.0976981941391308e-11,2.5379961772286076e-12,2.5747627908922715e-11,7.99693292307241e-13,2.9133762045469788e-12,8.687929661921859e-13,2.719993398654779e-13,2.9024080320394667e-13,3.3530366797107396e-12,3.639133492551306e-11,6.031700219138754e-13,1.2743659720078394e-12,4.4395534677998227e-13,5.4951186015409746e-12,0.0,1.3962476538242021e-11,5.239329014218688e-11,7.467912486622521e-12,2.5120933256413734e-10,1.111847434922577e-12,3.196523911712969e-11,2.4827023753601406e-13,5.5869713198656495e-12,1.3895723740730844e-12,4.618822933493145e-12,1.2533545784246655e-11,5.0593565302425875e-12,3.272863718410138e-12,5.301283608524558e-12,1.2702749444604304e-11,1.0019615222117516e-11,1.821699076010124e-11,9.850210722749826e-12,1.2880543891522881e-11,2.0911300306513663e-11,1.4544980276143387e-11,3.0379859384715294e-12,4.043537686469454e-12,9.870996368133328e-12,5.119030252804308e-11,2.2434893503992007e-11,3.642152013946879e-12,2.8767103451537557e-10,2.9914981389480597e-12,2.1963584997640872e-12,3.11426582053334e-13,2.403546233228892e-13,5.665573245191964e-12,2.09469609924265e-12,2.8466809711271847e-12,1.9976997827132804e-11,1.9635838524728017e-12,6.345827998276845e-13,1.6828513408524734e-12,9.624929234037663e-13,1.5067313362929823e-12,2.1652439024577008e-13,2.2030777107865788e-12,1.2204868147223377e-13,5.595562631201535e-13,2.976026369711635e-11,3.048816887303661e-11,5.465051869254022e-11,4.233576999714331e-13,2.9628961557624004e-13,1.8841075102458633e-11,5.491884769499485e-12,2.90614678842275e-13,1.050013537460427e-12,6.691911587255273e-13,2.5802790993674173e-13,1.4465049984268797e-11,6.687796283348041e-12,1.8246054455877625e-12,5.835123936658049e-12
Diagram 28,1.4370698502771957e-11,1.3460603704786123e-11,1.2579458845893671e-11,1.448154097783119e-11,1.3609101079132146e-11,8.850610835396769e-12,1.3897164712046054e-11,4.094304848540391e-11,8.82662305408853e-12,1.335682508178594e-11,5.2451681923770614e-11,1.4073501873168202e-10,1.1539890172465448e-11,8.8359444582866e-12,1.1424480361013413e-11,2.038441467490936e-11,1.3162783245934778e-11,1.104910033369504e-11,1.3106372313656904e-11,1.4234475878107496e-11,1.37084223781544e-11,1.060943985853128e-11,2.2428858387271038e-11,1.3359306516328145e-11,1.268811056623418e-11,1.3604277144008242e-11,8.467357936701047e-12,1.3962476538242021e-11,0.0,4.956499865517198e-11,6.5468554693457e-12,2.372468560258953e-10,1.2850629103319441e-11,3.3436188454910795e-11,1.3889776929339502e-11,8.443649117765991e-12,1.2572904164168934e-11,9.881353548264624e-12,9.95143779489828e-12,9.400579716112176e-12,1.0982346777282675e-11,9.839954050147872e-12,5.652625903310116e-12,9.095572545346897e-12,1.5260912404388695e-11,9.063305131784264e-12,6.432618607028303e-12,7.2756327616204454e-12,1.3365033034161167e-11,1.0954696945093459e-11,9.918938851772565e-12,7.788856530182233e-12,4.50511976587391e-11,1.4492301999912022e-11,1.083926598164066e-11,2.7370855797713346e-10,1.1616574188343055e-11,1.1766118038477931e-11,1.3652540552301792e-11,1.4138464930435114e-11,1.1217523657907085e-11,1.186778043899937e-11,1.1491068211513567e-11,1.2951737194404814e-11,1.224498889944837e-11,1.3327893738414335e-11,1.2279625197389546e-11,1.300720026002067e-11,1.2455745201949037e-11,1.4178813965855807e-11,1.175939882745544e-11,1.3885763729222573e-11,1.3418530478661492e-11,1.5857752701833817e-11,2.1874309640292444e-11,4.611364483288787e-11,1.4331305231030932e-11,1.4253858086251938e-11,1.2997213997741183e-11,1.055971361564397e-11,1.4002153926661956e-11,1.2912463000781593e-11,1.4631667696967548e-11,1.4184433520017852e-11,1.3604284805956668e-11,1.0134361830749963e-11,1.2536429186672789e-11,1.0939359554719027e-11
Diagram 29,5.2801512106716815e-11,5.1891417308730984e-11,5.101027244983853e-11,5.291235458177605e-11,5.203991468307701e-11,5.23979654030288e-11,5.2327978315990915e-11,7.130060748193335e-11,5.241493689019984e-11,5.17876386857308e-11,1.020166805789426e-10,1.0230420512773716e-10,5.008962078976006e-11,4.072905419688538e-11,5.124971816823218e-11,3.203017390648666e-11,5.159359684987964e-11,5.051153264343273e-11,5.153718591760176e-11,5.266528948205236e-11,5.213923598209926e-11,4.9040253462476135e-11,7.065991812710325e-11,5.1790120120273006e-11,5.1200545993744796e-11,5.20350907479531e-11,4.804168001549591e-11,5.239329014218688e-11,4.956499865517198e-11,0.0,5.444379180192294e-11,2.723235241937026e-10,5.12814427072643e-11,2.0589677799378892e-11,5.232059053328436e-11,5.2556697371068334e-11,5.1003717768113796e-11,5.061293889503103e-11,5.865341187914737e-11,5.06377502733539e-11,5.1208129294994465e-11,5.162419701732935e-11,5.452958270327821e-11,5.5682658053765374e-11,3.4648141573450156e-11,5.4602230439319105e-11,4.868616944983497e-11,5.684063141679243e-11,5.571502018661674e-11,5.045363154978543e-11,5.111566922140517e-11,5.375930153305995e-11,5.406907068491726e-12,6.188989222896988e-11,5.080429480767401e-11,3.0433249859239316e-10,5.058780658437474e-11,5.033089879175111e-11,5.208335415624665e-11,5.256927853437997e-11,5.111473325893484e-11,5.054676475266707e-11,5.121489615124017e-11,6.07397272634678e-11,5.2001424915448936e-11,5.175870734235919e-11,5.086293244353746e-11,5.143801386396553e-11,5.0886558805893897e-11,5.260962756980067e-11,5.0306021887362405e-11,5.2316577333167434e-11,5.184934408260635e-11,5.0327695101719657e-11,7.143930829546442e-11,2.055603096592389e-11,5.2762118834975796e-11,5.2684671690196796e-11,6.256221265291317e-11,5.190346465170034e-11,5.243296753060682e-11,5.1343276604726444e-11,5.306248130091241e-11,5.261524712396271e-11,4.835586907135321e-11,5.204722599560703e-11,5.107861468104252e-11,5.185764999161083e-11
Diagram 30,7.876134451152456e-12,6.966039653166623e-12,6.0848947942741725e-12,7.986976926211689e-12,7.114537027512649e-12,3.1875453300171523e-12,7.402600660426555e-12,4.7437612537023404e-11,2.7178413239049696e-12,6.862261030166441e-12,5.61957179379546e-11,1.4722958278330152e-10,5.854637901183815e-12,1.3985160602287695e-11,4.9546908564320674e-12,2.521091640393412e-11,6.668219194315281e-12,4.554536282075543e-12,6.6118082620374066e-12,7.739911826487998e-12,7.213858326534903e-12,7.2352072443147536e-12,2.8923422438890536e-11,6.8647424647086464e-12,6.1935465146146816e-12,7.1097130923887454e-12,6.439282238075307e-12,7.467912486622521e-12,6.5468554693457e-12,5.444379180192294e-11,0.0,2.4374142007751483e-10,6.356065051699945e-12,3.8314981601661755e-11,7.395212877720004e-12,1.9029469125180262e-12,6.078340112549437e-12,4.554478858484334e-12,5.545808960099489e-12,4.252241504845744e-12,4.7387681525877265e-12,4.021403224022296e-12,5.462977434164648e-12,4.424145642520633e-12,2.0139705551139655e-11,4.99022321893374e-12,1.1076960645450074e-11,1.3443387819891136e-11,1.3152614070814706e-11,4.658300549314711e-12,3.424374800153067e-12,4.3826022874348955e-12,4.989280690076418e-11,1.6670157867793522e-11,4.826542843117781e-12,2.80203122028753e-10,6.1934619565451806e-12,5.271553986858436e-12,7.157976500682293e-12,7.64390087881561e-12,7.778476697011457e-12,5.373216387379872e-12,5.769141401740009e-12,1.3427351268255988e-11,5.710511362398566e-12,6.833329686794838e-12,5.785061145770049e-12,6.512636208401173e-12,5.96118115032954e-12,7.684249914236307e-12,5.264834775835943e-12,7.391199677603074e-12,6.923966427041992e-12,2.229235121049382e-11,2.3020256386414083e-11,5.0940146561912625e-11,7.836741179411432e-12,7.759294034632437e-12,1.1373162615836115e-11,5.016488079189135e-12,7.507589875042458e-12,6.417898949162095e-12,8.137103645348047e-12,7.689869468398349e-12,1.843078653498143e-11,5.429983678779437e-12,6.922073704818528e-12,5.522478531586995e-12
Diagram 31,2.516175545286672e-10,2.5070745973068143e-10,2.49826314871789e-10,2.517283970037265e-10,2.508559571050274e-10,2.4518161381538915e-10,2.511440207379414e-10,2.0102291671176927e-10,2.4538522832630034e-10,2.5060368110768133e-10,1.875457021395602e-10,2.2841565209106278e-10,2.487867461983607e-10,2.3159446999681725e-10,2.4867133638690874e-10,2.402933502872159e-10,2.5040963927183013e-10,2.482959563595904e-10,2.5035322833955226e-10,2.514813319040028e-10,2.509552784040497e-10,2.478562958844266e-10,2.1481799763862426e-10,2.5060616254222343e-10,2.499349665921295e-10,2.5085113316990354e-10,2.4571421396259633e-10,2.5120933256413734e-10,2.372468560258953e-10,2.723235241937026e-10,2.4374142007751483e-10,0.0,2.5009748512921477e-10,2.561947139934415e-10,2.511366329552348e-10,2.4562236124427175e-10,2.498197601900643e-10,2.4659050963064413e-10,2.3867578677989063e-10,2.4614997603389477e-10,2.4793646884572717e-10,2.4590804895561275e-10,2.38506583119533e-10,2.411897173420198e-10,2.380194379429193e-10,2.413591218413875e-10,2.383287886726144e-10,2.3029803225762364e-10,2.3667410325814654e-10,2.481713466256658e-10,2.4716579487766797e-10,2.41338336196004e-10,2.6716923234433455e-10,2.2878481874327745e-10,2.475671805501904e-10,3.646170195123815e-11,2.4821783442518927e-10,2.4901297406437334e-10,2.5089939657819715e-10,2.513853209563304e-10,2.4554375931894535e-10,2.4911463646489473e-10,2.4836265159301014e-10,2.312323347370045e-10,2.4939040621132965e-10,2.5057474976430963e-10,2.4952648122328484e-10,2.50254056285916e-10,2.4970260122784434e-10,2.5142566999175107e-10,2.4900625485335077e-10,2.5113261975511786e-10,2.506653865045568e-10,2.2199582909198297e-10,2.2072116369110074e-10,2.5178252672700186e-10,2.5157816125692627e-10,2.5150071411214723e-10,2.323682574616787e-10,2.457174477946378e-10,2.512490099525573e-10,2.501593190266769e-10,2.5187852372286287e-10,2.514312895459132e-10,2.3674428257986853e-10,2.4452153628078926e-10,2.497832852125681e-10,2.4537420862747926e-10
Diagram 32,1.5200693994525135e-12,6.440491100722214e-13,7.61192997113679e-13,1.630911874511746e-12,7.830342281815517e-13,4.92077187906209e-12,1.0465356087266117e-12,5.379367758872335e-11,4.712256802914414e-12,7.397034050745039e-13,6.255178298965456e-11,1.5358564783500146e-10,1.3107389308539947e-12,1.986513450646873e-11,1.4824680038689704e-12,2.463578047400014e-11,4.265026425841308e-13,1.8015287696244018e-12,4.4826923359221287e-13,1.3838467747880547e-12,8.577932748349582e-13,2.36719077031804e-12,3.527948749059048e-11,5.472563920378223e-13,4.0533192781088624e-13,7.536480406888001e-13,4.383271166618396e-12,1.111847434922577e-12,1.2850629103319441e-11,5.12814427072643e-11,6.356065051699945e-12,2.5009748512921477e-10,0.0,3.257310653183767e-11,1.0391478260200603e-12,4.475123884943073e-12,5.643679833821649e-13,3.5069754985705676e-12,1.1421698349324076e-11,3.947509095320011e-12,2.2139271988078736e-12,4.189436173601981e-12,1.1590902009681727e-11,8.907767787194938e-12,1.7105143325178664e-11,8.738363287827251e-12,1.1768696456600304e-11,1.9799452871591083e-11,1.3464909735580487e-11,1.926138503548953e-12,2.931690251546878e-12,8.75914893321075e-12,5.008707434477496e-11,2.135482296342911e-11,2.5303045790243024e-12,2.8655918708045295e-10,1.9711219664283426e-12,1.0916324400138254e-12,8.019114489823499e-13,1.2878358271156694e-12,4.671008813214932e-12,9.82848664320073e-13,1.885041258254312e-12,1.886515039221023e-11,1.6764343933995964e-12,7.243080520403968e-13,5.800102351336329e-13,2.6050223471639474e-13,6.899488285729462e-13,1.3281848625363655e-12,1.0912302758640022e-12,1.0351346259031297e-12,5.679013753420473e-13,2.8648416262193768e-11,2.9376321438114036e-11,5.353867125761764e-11,1.48067612771149e-12,1.4032289829324953e-12,1.772922766753606e-11,4.380037334576908e-12,1.151524823342514e-12,1.7620977939909459e-13,1.7810385936481042e-12,1.3338044166984069e-12,1.3720285645591913e-11,5.575948848425464e-12,1.4610063917788336e-12,4.723276501735472e-12
Diagram 33,3.221183430733791e-11,3.2265082540063753e-11,3.3044766981393265e-11,3.2322676782397156e-11,3.2169250216457357e-11,3.6044024976045854e-11,3.203436575570547e-11,5.517179728167217e-11,3.6286126689938655e-11,3.2074288333346264e-11,8.588787037868141e-11,1.2289388292711606e-10,3.246034370047794e-11,2.4600243996624195e-11,3.337018948739405e-11,1.5901363706225478e-11,3.241830986842647e-11,3.433342676644285e-11,3.2282004267060454e-11,3.2075611682673465e-11,3.204800497665221e-11,3.107977435734701e-11,5.4531107926842064e-11,3.233835632446183e-11,3.25693644773619e-11,3.2025304815972814e-11,3.187569936358645e-11,3.196523911712969e-11,3.3436188454910795e-11,2.0589677799378892e-11,3.8314981601661755e-11,2.561947139934415e-10,3.257310653183767e-11,0.0,3.198215681210506e-11,3.642788717080715e-11,3.294987884497194e-11,3.426101878196731e-11,4.252460167888619e-11,3.450790838720255e-11,3.384306621938578e-11,3.5440991831122806e-11,3.840077250301703e-11,3.955384785350418e-11,1.8175276050522103e-11,3.847342023905792e-11,3.255735924957378e-11,4.071182121653124e-11,3.922610770671573e-11,3.365668105234705e-11,3.495458028704476e-11,3.7630491332798764e-11,1.9386690185235103e-11,4.5647493790988255e-11,3.397019631116363e-11,2.88203688392132e-10,3.271482401643947e-11,3.3537835466219355e-11,3.2092454455716467e-11,3.1991473800746235e-11,3.344743127446029e-11,3.3257279416859695e-11,3.286882142659428e-11,4.4610917063206604e-11,3.280511344567036e-11,3.246255671746398e-11,3.311101281577496e-11,3.255362308804782e-11,3.316013917190064e-11,3.202373926487063e-11,3.35196408344932e-11,3.200897686382073e-11,3.20664928613475e-11,3.419888490145847e-11,5.531049809520324e-11,2.2846906349732236e-11,3.21724410355969e-11,3.20949938908179e-11,4.643340245265198e-11,3.5388351027872424e-11,3.1945120468263556e-11,3.252778031729558e-11,3.2472803501533514e-11,3.203766239750157e-11,2.9727624098167206e-11,3.571333183179124e-11,3.1757250651759584e-11,3.557316235626275e-11
Diagram 34,4.809215734324532e-13,4.767774438965578e-13,1.3103180834458316e-12,6.026141933269842e-13,3.7871068828087546e-13,5.95501913984562e-12,3.4397419247227454e-13,5.4832825414743404e-11,5.751404628934474e-12,6.624804082698983e-13,6.359093081567462e-11,1.5462479566102155e-10,2.349886756874055e-12,2.0904282332488792e-11,2.4652965683260908e-12,2.56749283000202e-11,7.448033326320597e-13,2.840676595644462e-12,7.834046156825991e-13,3.4621663244452624e-13,2.6856731389080817e-13,3.280337070808223e-12,3.6318635316610544e-11,5.497466410390966e-13,1.2016663631053225e-12,2.922142840190746e-13,5.422418992638457e-12,2.4827023753601406e-13,1.3889776929339502e-11,5.232059053328436e-11,7.395212877720004e-12,2.511366329552348e-10,1.0391478260200603e-12,3.198215681210506e-11,0.0,5.514271710963132e-12,1.3168727651705678e-12,4.546123324590628e-12,1.2460846175344136e-11,4.98665692134007e-12,3.2001641095076207e-12,5.228583999622041e-12,1.2630049835701786e-11,9.946915613214999e-12,1.8144291151198722e-11,9.77751111384731e-12,1.2807844282620362e-11,2.0838600697611144e-11,1.4462529697088265e-11,2.965286329569013e-12,3.970838077566938e-12,9.79829675923081e-12,5.111760291914056e-11,2.2351877576716663e-11,3.5694524050443627e-12,2.875983349064729e-10,2.918798530045543e-12,2.1236588908615703e-12,3.398773028865315e-13,3.012083337652434e-13,5.5928736362894465e-12,2.0219964903401336e-12,2.7739813622246682e-12,1.9904298218230292e-11,1.8039789507275433e-12,6.740958699979886e-13,1.610151731949957e-12,8.825766693188321e-13,1.4340317273904656e-12,3.0623875507016464e-13,2.1303781018840623e-12,3.3801564100815847e-13,4.811019898303118e-13,2.968756408821383e-11,3.041546926413409e-11,5.45778190836377e-11,4.4775057868044256e-13,3.7118682816440946e-13,1.8768375493556114e-11,5.419185160596969e-12,2.5295268658334043e-13,9.773139285579103e-13,7.418907676280439e-13,3.6248803500440233e-13,1.4392350375366281e-11,6.615096674445525e-12,1.5954419075778553e-12,5.762424327755532e-12
Diagram 35,5.995193284395586e-12,5.085098486409751e-12,4.2039536275173006e-12,6.106035759454818e-12,5.233595860755776e-12,1.7707076216447616e-12,5.5216594936696835e-12,4.931855370378028e-11,1.2648201468357203e-12,4.981319863409568e-12,5.807665910471148e-11,1.491105239500584e-10,3.967543470329205e-12,1.5631084645792487e-11,3.167480603571687e-12,2.3311677672640003e-11,4.787278027558408e-12,2.67359511531867e-12,4.730867095280533e-12,5.858970659731126e-12,5.332917159778031e-12,5.348112813460143e-12,3.0804363605647406e-11,4.983801297951774e-12,4.31260534785781e-12,5.228771925631872e-12,4.552187807220697e-12,5.5869713198656495e-12,8.443649117765991e-12,5.2556697371068334e-11,1.9029469125180262e-12,2.4562236124427175e-10,4.475123884943073e-12,3.642788717080715e-11,5.514271710963132e-12,0.0,4.1973989457925645e-12,2.746117462581885e-12,7.0575258526010155e-12,2.3592805215518107e-12,2.9803079011927272e-12,2.291212337130139e-12,7.115778124738655e-12,4.752358812953885e-12,1.8252611120285047e-11,4.302503951072775e-12,9.394944342534968e-12,1.5324328986648012e-11,1.1744211739935601e-11,2.771206118460101e-12,1.5434336333961933e-12,4.292113025349533e-12,4.805083571818654e-11,1.7151100651189987e-11,3.0442827317530746e-12,2.8208406319550987e-10,4.2905150440271555e-12,3.3906128201015615e-12,5.277035333925422e-12,5.762959712058742e-12,5.885519369341366e-12,3.4922752206229986e-12,3.8661944892219835e-12,1.4390026507267157e-11,3.80756444988054e-12,4.952388520037965e-12,3.904119979013175e-12,4.6316950416443e-12,4.080239983572667e-12,5.803308747479438e-12,3.383893609079069e-12,5.5102585108462026e-12,5.0430252602851196e-12,2.4173292377250694e-11,2.4901197553170956e-11,4.9656231734457616e-11,5.955800012654562e-12,5.878352867875567e-12,1.3254103782592987e-11,3.4245733228612826e-12,5.626648708285586e-12,4.536957782405222e-12,6.2561624785911764e-12,5.808928301641479e-12,1.65278396224634e-11,3.671523427384436e-12,5.034979273963918e-12,3.770368151836788e-12
